iter	Passed	Remaining
0	93	93837
1	153	76531
2	222	73798
3	292	72874
4	327	65097
5	364	60466
6	405	57474
7	435	54034
8	471	51871
9	507	50262
10	533	47955
11	555	45725
12	592	44969
13	620	43706
14	650	42698
15	677	41650
16	706	40866
17	734	40083
18	761	39323
19	787	38592
20	819	38186
21	846	37615
22	870	36990
23	896	36438
24	925	36090
25	950	35610
26	977	35243
27	1002	34812
28	1032	34587
29	1058	34224
30	1084	33907
31	1133	34297
32	1158	33956
33	1187	33738
34	1215	33506
35	1244	33324
36	1278	33288
37	1302	32982
38	1329	32759
39	1356	32550
40	1378	32242
41	1402	31996
42	1429	31804
43	1452	31557
44	1475	31320
45	1502	31151
46	1525	30928
47	1550	30752
48	1574	30552
49	1595	30313
50	1624	30227
51	1650	30089
52	1676	29960
53	1702	29829
54	1728	29707
55	1752	29539
56	1776	29385
57	1800	29238
58	1826	29138
59	1851	29013
60	1875	28865
61	1903	28792
62	1924	28627
63	1950	28527
64	1975	28422
65	2001	28326
66	2027	28237
67	2055	28173
68	2082	28104
69	2109	28024
70	2135	27936
71	2161	27854
72	2189	27803
73	2217	27750
74	2241	27648
75	2263	27518
76	2289	27442
77	2316	27384
78	2344	27335
79	2370	27258
80	2396	27192
81	2422	27115
82	2444	27002
83	2470	26942
84	2496	26878
85	2521	26802
86	2549	26753
87	2571	26654
88	2599	26606
89	2624	26533
90	2651	26483
91	2679	26442
92	2705	26388
93	2730	26316
94	2753	26233
95	2777	26156
96	2802	26089
97	2827	26025
98	2854	25981
99	2880	25926
100	2906	25871
101	2932	25816
102	2957	25759
103	2985	25720
104	3009	25655
105	3033	25583
106	3056	25505
107	3079	25437
108	3105	25384
109	3131	25338
110	3156	25280
111	3181	25225
112	3208	25187
113	3232	25125
114	3257	25071
115	3286	25047
116	3308	24972
117	3335	24928
118	3355	24843
119	3381	24798
120	3409	24765
121	3437	24741
122	3464	24701
123	3489	24650
124	3510	24576
125	3533	24507
126	3561	24479
127	3589	24455
128	3611	24385
129	3637	24340
130	3659	24277
131	3683	24220
132	3708	24177
133	3737	24151
134	3762	24106
135	3787	24062
136	3813	24022
137	3840	23986
138	3866	23947
139	3894	23920
140	3920	23884
141	3943	23826
142	3972	23804
143	3995	23749
144	4019	23701
145	4040	23633
146	4067	23599
147	4092	23562
148	4119	23525
149	4144	23485
150	4171	23453
